苏轼	江城子 · 乙卯正月二十日夜记梦	料得年年肠断处，明月夜，短松冈。
苏轼	江城子 · 乙卯正月二十日夜记梦	千里孤坟，无处话凄凉。
苏轼	江城子 · 乙卯正月二十日夜记梦	纵使相逢应不识，尘满面，鬓如霜。
李清照	如梦令 · 昨夜雨疏风骤	知否？知否？应是绿肥红瘦。
欧阳修	朝中措 · 送刘仲原甫出守维扬	行乐直须年少，樽前看取衰翁。
贺铸	六州歌头	立谈中，死生同，一诺千金重。
李商隐	无题	身无彩凤双飞翼，心有灵犀一点通。
苏轼	江城子 · 密州出猎	酒酣胸胆尚开张，鬓微霜，又何妨？
苏轼	记承天寺夜游	何夜无月？何处无竹柏？但少闲人如吾两人者耳。
李商隐	登乐游原	夕阳无限好，只是近黄昏。
李商隐	锦瑟	此情可待成追忆？只是当时已惘然。
李商隐	锦瑟	锦瑟无端五十弦，一弦一柱思华年。
苏轼	南乡子 · 黄州临皋亭作	一阵东风来卷地，吹回，落照江天一半开。
苏轼	南乡子 · 黄州临皋亭作	晚景落琼杯，照眼云山翠作堆。
苏轼	江神子 · 别徐州	欲寄相思千点泪，流不到，楚江东。
毛泽东	沁园春 · 长沙	问苍茫大地，谁主沉浮？
毛泽东	沁园春 · 长沙	指点江山，激扬文字，粪土当年万户侯。
曹操	短歌行二首（其一）	对酒当歌，人生几何？
曹操	短歌行二首（其一）	山不厌高，海不厌深。周公吐哺，天下归心。
苏轼	水调歌头 · 快哉亭作	一点浩然气，千里快哉风。
苏轼	水调歌头 · 快哉亭作	一千顷，都镜净，倒碧峰。
毛泽东	卜算子 · 咏梅	待到山花烂漫时，她在丛中笑。
辛弃疾	八声甘州	纱窗外、斜风细雨，一阵轻寒。
归有光	归程小记	山不必陟乃佳也。
张九龄	望月怀远	海上生明月，天涯共此时。
张九龄	望月怀远	灭烛怜光满，披衣觉露滋。
施耐庵	西江月	他年若得报冤仇，血染浔阳江口。
杜甫	江南逢李龟年	正是江南好风景，落花时节又逢君。
杜甫	望岳	荡胸生曾云，决眦入归鸟。
白居易	夜雪	夜深知雪重，时闻折竹声。
归有光	项脊轩志	明月半墙，桂影斑驳，风移影动，珊珊可爱。
白居易	问刘十九	绿蚁新醅酒，红泥小火炉。
沈复	浮生六记 · 卷一 · 闺房记乐	余暗于案下握其腕，暖尖滑腻，胸中不觉抨抨作跳。
辛弃疾	青玉案 · 元夕	东风夜放花千树，更吹落、星如雨。
陶渊明	饮酒（其五）	采菊东篱下，悠然见南山。
陶渊明	桃花源记	夹岸数百步，中无杂树，芳草鲜美，落英缤纷。
辛弃疾	水龙吟 · 登建康赏心亭	倩何人唤取，红巾翠袖，揾英雄泪。
辛弃疾	水龙吟 · 登建康赏心亭	休说鲈鱼堪脍，尽西风、季鹰归未？
毛泽东	致彭德怀同志	山高路远坑深，大军纵横驰奔。
毛泽东	沁园春 · 长沙	看万山红遍，层林尽染。
